DispositionScore,PlanetaryRadius[Earthradii,TCEPlanetNumbe,StellarEffectiveTemperatureUpperUnc.[K,TransitSignal-to-Nois,ExoplanetCandidate
0.0,0.54,1.0,163.0,9.8,0.0
0.893,1.24,1.0,76.0,11.7,1.0
0.0,5.31,1.0,203.0,184.3,0.0
0.999,1.06,1.0,166.0,15.4,1.0
0.0,40.58,1.0,172.0,840.7,0.0
0.896,1.52,1.0,89.0,12.3,1.0
1.0,2.03,1.0,70.0,71.6,1.0
0.0,1.51,1.0,166.0,24.6,1.0
0.987,2.64,2.0,78.0,24.9,1.0
1.0,0.79,2.0,90.0,11.8,1.0
0.0,0.93,1.0,180.0,5.0,0.0
0.991,2.41,2.0,79.0,24.6,1.0
0.0,28.3,1.0,49.0,685.3,0.0
0.0,2.29,1.0,176.0,20.3,0.0
1.0,1.85,1.0,107.0,55.1,1.0
0.0,42.91,1.0,157.0,1834.5,0.0
0.989,2.69,1.0,84.0,67.6,1.0
1.0,2.43,1.0,157.0,27.8,1.0
0.0,49.86,1.0,194.0,423.9,0.0
0.779,39.82,1.0,109.0,24.5,1.0
1.0,3.18,1.0,102.0,293.7,1.0
0.022,1.26,2.0,172.0,13.9,0.0
0.0,51.1,2.0,125.0,808.3,0.0
0.0,1.75,1.0,169.0,27.6,0.0
0.967,1.3,2.0,154.0,9.3,1.0
0.0,101.15,1.0,158.0,643.3,0.0
0.0,60.79,1.0,191.0,3452.5,0.0
0.998,1.91,1.0,189.0,12.7,1.0
0.003,0.93,1.0,168.0,9.5,0.0
0.0,0.54,1.0,59.0,24.9,0.0
0.276,1.37,1.0,151.0,17.7,1.0
0.0,56.1,1.0,162.0,279.1,0.0
0.78,1.3,1.0,152.0,11.7,1.0
0.0,17.47,1.0,187.0,52.1,0.0
0.0,1.77,1.0,79.0,20.3,0.0
0.972,1.63,1.0,194.0,13.0,1.0
0.954,1.98,1.0,181.0,17.5,1.0
0.343,2.94,3.0,107.0,10.6,1.0
0.0,3.39,1.0,190.0,136.4,0.0
1.0,1.89,1.0,169.0,16.2,1.0
0.979,2.0,1.0,78.0,9.9,1.0
0.997,2.18,1.0,181.0,15.5,1.0
0.872,4.39,1.0,67.0,9.4,1.0
0.0,0.82,1.0,156.0,21.7,0.0
0.995,2.03,2.0,85.0,26.1,1.0
0.005,1.28,1.0,184.0,17.4,0.0
1.0,12.28,1.0,112.0,230.6,1.0
0.926,2.29,1.0,203.0,24.9,1.0
0.0,73.06,1.0,203.0,155.5,0.0
0.0,25.01,1.0,197.0,45.6,0.0
0.0,27.35,1.0,181.0,178.5,0.0
1.0,1.87,1.0,117.0,21.8,1.0
0.996,1.64,1.0,83.0,20.3,1.0
0.0,17.09,1.0,159.0,2019.7,0.0
0.988,2.72,1.0,88.0,24.7,1.0
1.0,2.25,3.0,78.0,36.9,1.0
0.992,1.43,1.0,81.0,17.8,1.0
0.0,53.27,1.0,183.0,1221.2,0.0
0.993,1.33,2.0,122.0,12.2,1.0
0.061,25.67,1.0,180.0,12.4,0.0
0.0,5.86,1.0,157.0,16.0,0.0
0.999,1.06,1.0,105.0,13.9,1.0
0.0,5.35,1.0,173.0,79.8,0.0
1.0,21.74,1.0,159.0,15.8,1.0
0.02,0.82,1.0,183.0,9.4,0.0
0.0,2.89,1.0,81.0,19.3,0.0
0.0,173.18,1.0,66.0,101.9,0.0
1.0,2.01,1.0,71.0,90.5,1.0
0.0,29.25,1.0,159.0,476.7,0.0
0.0,1.57,3.0,87.0,14.4,1.0
0.0,1.45,1.0,128.0,14.5,0.0
0.0,8.15,1.0,128.0,30.9,0.0
0.0,24.4,1.0,119.0,897.0,0.0
0.0,1.09,2.0,151.0,48.8,0.0
1.0,1.74,2.0,106.0,15.0,1.0
0.0,20.7,1.0,117.0,529.9,0.0
0.0,1.64,1.0,155.0,38.8,0.0
0.996,1.47,5.0,73.0,45.3,1.0
0.0,24.89,1.0,163.0,22.8,0.0
0.0,19.88,1.0,189.0,28.1,0.0
0.0,129.2,1.0,212.0,8022.8,0.0
0.912,0.82,1.0,75.0,12.4,1.0
0.0,0.48,1.0,72.0,13.4,0.0
1.0,1.51,1.0,153.0,13.6,1.0
1.0,2.68,1.0,109.0,78.4,1.0
0.005,2.74,2.0,166.0,9.2,0.0
0.784,1.96,2.0,133.0,13.0,1.0
0.0,11.82,2.0,160.0,26.0,0.0
0.0,15.68,1.0,160.0,27.9,0.0
0.866,1.31,1.0,180.0,9.6,1.0
0.0,51.06,1.0,163.0,1812.6,0.0
0.0,3.16,1.0,174.0,39.3,0.0
0.998,1.61,1.0,113.0,36.3,1.0
1.0,3.29,1.0,104.0,84.8,1.0
0.996,0.77,2.0,102.0,25.2,1.0
0.0,630.53,1.0,186.0,978.2,0.0
0.993,3.61,1.0,82.0,33.7,1.0
0.981,12.41,1.0,54.0,116.2,1.0
0.0,0.84,1.0,165.0,24.9,0.0
0.0,23.4,1.0,160.0,7.7,1.0
1.0,3.17,1.0,173.0,42.1,1.0
0.999,3.21,2.0,101.0,34.7,1.0
0.933,2.84,1.0,134.0,13.9,1.0
1.0,2.04,1.0,75.0,19.7,1.0
1.0,10.69,2.0,146.0,43.2,1.0
0.0,5.2,2.0,302.0,331.6,0.0
0.668,0.84,1.0,146.0,8.9,1.0
0.995,3.24,1.0,86.0,18.0,1.0
0.003,1.91,1.0,162.0,15.4,0.0
0.0,18.09,1.0,170.0,30.0,0.0
0.0,15.64,1.0,176.0,368.9,0.0
0.993,3.98,1.0,76.0,13.2,1.0
0.999,1.26,1.0,219.0,25.9,1.0
0.999,2.56,1.0,114.0,35.6,1.0
0.0,44.41,1.0,134.0,25.0,0.0
0.997,91.91,1.0,71.0,37.1,0.0
0.0,67.43,1.0,195.0,2274.7,0.0
0.0,2.93,1.0,184.0,94.7,0.0
0.0,0.92,1.0,155.0,12.1,0.0
0.0,1.72,1.0,159.0,13.2,0.0
0.0,0.93,1.0,185.0,27.8,0.0
0.0,0.95,1.0,53.0,35.5,0.0
0.001,1.22,1.0,166.0,22.1,0.0
0.0,24.17,1.0,169.0,101.2,0.0
1.0,8.43,1.0,183.0,461.5,1.0
0.0,1.09,1.0,172.0,7.0,0.0
0.063,1.45,2.0,62.0,35.2,1.0
0.0,1.84,1.0,158.0,59.9,0.0
0.989,1.34,1.0,148.0,13.0,1.0
0.997,1.21,1.0,164.0,9.0,1.0
1.0,1.57,2.0,160.0,40.1,1.0
0.0,66.27,1.0,197.0,3506.5,0.0
1.0,1.18,2.0,676.0,14.2,1.0
0.991,32.99,1.0,181.0,238.9,0.0
0.0,27.64,1.0,155.0,30.6,0.0
0.959,1.78,2.0,105.0,14.6,1.0
0.0,3.1,1.0,152.0,19.1,1.0
0.987,8.56,1.0,113.0,46.1,1.0
0.169,5.7,2.0,230.0,14.0,0.0
0.0,1.3,1.0,164.0,23.6,0.0
0.0,1.91,1.0,177.0,12.3,0.0
0.0,1.17,1.0,179.0,24.3,0.0
0.0,30.74,1.0,75.0,35.6,0.0
0.0,50.74,1.0,187.0,864.5,0.0
0.0,108.33,1.0,214.0,472.8,0.0
0.888,0.79,1.0,180.0,9.5,1.0
0.968,1.23,4.0,73.0,28.6,1.0
0.0,1.1,1.0,196.0,13.2,0.0
0.0,1.09,1.0,161.0,31.7,0.0
0.0,14.0,1.0,164.0,102.0,0.0
0.0,9.82,1.0,286.0,20.9,0.0
0.0,1.22,1.0,185.0,8.2,0.0
0.003,57.6,1.0,157.0,470.0,0.0
0.0,1.37,1.0,162.0,59.1,0.0
0.495,1.68,1.0,167.0,44.1,0.0
0.0,60.35,1.0,170.0,5497.0,0.0
0.0,34.42,1.0,177.0,173.2,0.0
0.972,1.13,1.0,152.0,13.3,1.0
0.999,1.92,2.0,172.0,30.7,1.0
0.979,0.97,1.0,105.0,21.3,1.0
0.0,12.6,1.0,170.0,17.2,0.0
0.999,1.64,1.0,160.0,21.4,1.0
0.967,0.8,1.0,168.0,10.0,1.0
0.979,2.47,1.0,111.0,36.2,1.0
0.0,28.07,1.0,196.0,167.1,0.0
0.0,31.13,1.0,186.0,127.1,0.0
1.0,13.44,1.0,129.0,535.5,1.0
1.0,1.36,2.0,100.0,39.7,1.0
0.0,2.87,1.0,194.0,76.0,0.0
0.721,0.91,1.0,183.0,10.2,1.0
0.0,10.28,1.0,125.0,27.1,0.0
1.0,2.92,1.0,181.0,70.9,1.0
0.0,30.47,1.0,70.0,8.3,0.0
0.0,1.58,1.0,181.0,20.6,0.0
0.0,20.71,1.0,175.0,1797.6,0.0
1.0,7.67,1.0,93.0,235.7,1.0
0.001,1.11,1.0,70.0,9.5,0.0
0.944,3.1,1.0,81.0,8.9,1.0
0.944,1.26,1.0,173.0,8.6,1.0
0.582,13.72,2.0,119.0,10.2,1.0
0.993,1.24,1.0,124.0,20.3,1.0
1.0,2.46,1.0,83.0,65.5,1.0
0.986,0.88,1.0,67.0,17.9,1.0
0.987,1.48,1.0,180.0,10.3,1.0
0.889,2.48,1.0,78.0,10.3,1.0
0.0,0.76,3.0,44.0,150.4,1.0
1.0,1.45,1.0,78.0,17.4,1.0
0.998,1.61,2.0,106.0,20.3,1.0
1.0,2.46,1.0,80.0,15.3,1.0
1.0,2.15,1.0,159.0,66.4,1.0
0.0,3.94,1.0,172.0,160.2,0.0
1.0,1.12,1.0,179.0,10.3,1.0
0.0,4.54,1.0,178.0,92.8,0.0
1.0,23.47,1.0,188.0,19.7,1.0
1.0,3.97,1.0,146.0,56.3,1.0
0.0,53.72,1.0,175.0,66.3,0.0
0.0,67.17,1.0,81.0,86.1,0.0
0.0,123.25,1.0,232.0,741.5,0.0
0.0,0.85,1.0,70.0,8.9,0.0
0.0,0.52,1.0,148.0,10.0,0.0
1.0,1.06,3.0,100.0,22.5,1.0
0.871,0.55,3.0,104.0,8.7,1.0
0.99,1.05,1.0,83.0,13.4,1.0
0.0,1.1,1.0,149.0,9.4,0.0
1.0,1.32,2.0,76.0,22.2,1.0
1.0,0.6,1.0,115.0,8.5,1.0
0.999,1.46,2.0,160.0,12.3,1.0
0.0,99.66,1.0,168.0,2595.9,0.0
0.67,34.23,1.0,157.0,431.3,0.0
1.0,2.5,1.0,75.0,22.6,1.0
0.986,1.9,1.0,157.0,20.7,1.0
1.0,0.93,1.0,181.0,11.3,1.0
0.982,10.99,1.0,148.0,1126.2,1.0
0.0,22.09,1.0,203.0,427.6,0.0
0.0,11.07,1.0,62.0,14.4,1.0
0.0,6.54,1.0,179.0,19.7,0.0
0.0,41.62,1.0,177.0,110.9,0.0
0.0,178.47,1.0,199.0,1876.9,0.0
1.0,2.05,1.0,106.0,15.7,1.0
0.97,2.29,1.0,173.0,14.7,1.0
1.0,7.62,4.0,49.0,24.5,1.0
0.894,3.44,1.0,204.0,33.6,1.0
1.0,1.75,1.0,166.0,13.6,1.0
1.0,1.25,1.0,78.0,13.1,1.0
0.0,1.33,1.0,103.0,20.5,0.0
0.992,0.59,1.0,112.0,12.3,1.0
0.861,2.28,1.0,101.0,34.7,1.0
0.0,22.76,1.0,154.0,46.1,0.0
0.0,0.68,1.0,105.0,15.4,0.0
0.97,2.53,1.0,91.0,14.5,1.0
0.68,1.29,2.0,79.0,77.5,1.0
0.0,0.92,1.0,140.0,10.6,0.0
0.977,1.06,1.0,161.0,11.9,1.0
0.0,1.13,1.0,143.0,33.0,0.0
0.862,2.66,1.0,78.0,38.0,1.0
0.0,40.37,1.0,172.0,448.0,0.0
1.0,1.38,1.0,84.0,23.3,1.0
0.974,1.08,1.0,66.0,17.1,1.0
0.521,0.54,1.0,159.0,12.5,1.0
1.0,1.77,1.0,162.0,20.1,1.0
0.0,146.33,1.0,160.0,1451.7,0.0
1.0,2.22,5.0,121.0,29.7,1.0
0.855,3.51,1.0,214.0,46.8,1.0
0.0,1.51,1.0,182.0,33.8,0.0
0.0,37.24,1.0,161.0,101.1,0.0
1.0,1.94,2.0,105.0,88.4,1.0
1.0,1.55,1.0,148.0,32.6,1.0
0.998,2.41,1.0,75.0,20.7,1.0
0.944,2.82,1.0,85.0,22.8,1.0
0.965,1.69,1.0,95.0,15.3,1.0
0.974,1.31,1.0,164.0,17.0,1.0
1.0,1.3,2.0,95.0,14.9,1.0
0.0,1.25,1.0,171.0,21.2,0.0
0.0,43.47,1.0,166.0,152.9,0.0
0.619,0.85,1.0,179.0,11.9,1.0
1.0,3.61,1.0,160.0,42.6,1.0
0.965,1.75,1.0,141.0,17.7,1.0
0.0,37.02,1.0,162.0,740.2,0.0
0.956,0.57,4.0,160.0,13.2,1.0
0.999,1.04,1.0,153.0,12.8,1.0
0.0,75.22,2.0,168.0,81.1,0.0
1.0,1.62,1.0,108.0,77.4,1.0
0.995,1.51,1.0,104.0,26.4,1.0
1.0,4.22,1.0,182.0,123.9,1.0
0.892,1.02,1.0,149.0,16.1,1.0
0.999,2.96,1.0,76.0,13.5,1.0
0.0,1.96,1.0,182.0,8.2,1.0
0.996,3.24,1.0,75.0,14.1,1.0
0.0,0.84,1.0,161.0,19.1,0.0
1.0,3.11,1.0,82.0,40.3,1.0
1.0,3.13,1.0,77.0,15.1,1.0
1.0,5.8,1.0,74.0,56.3,1.0
0.0,47.02,1.0,158.0,964.8,0.0
0.999,2.94,1.0,78.0,17.6,1.0
0.0,33.81,1.0,139.0,616.3,0.0
0.893,1.25,1.0,149.0,14.2,1.0
0.0,2.86,1.0,151.0,13.1,0.0
1.0,2.03,1.0,170.0,42.6,1.0
0.0,25.74,1.0,184.0,57.0,0.0
0.084,37.22,1.0,77.0,339.2,0.0
0.999,3.43,2.0,162.0,15.4,1.0
0.855,2.29,1.0,105.0,33.9,1.0
0.982,0.73,2.0,72.0,14.7,1.0
0.0,5.43,1.0,180.0,68.9,0.0
1.0,3.29,1.0,76.0,37.0,1.0
0.0,96.19,1.0,189.0,8755.2,0.0
0.0,46.72,1.0,141.0,1053.1,0.0
0.955,0.75,1.0,160.0,9.9,1.0
1.0,72.36,1.0,88.0,14.0,1.0
0.999,0.72,1.0,77.0,13.0,1.0
0.998,3.14,2.0,75.0,15.2,1.0
0.0,1.73,1.0,195.0,12.9,0.0
0.967,0.79,1.0,71.0,8.0,1.0
1.0,5.17,1.0,168.0,155.0,1.0
0.997,1.74,1.0,169.0,18.1,1.0
0.0,1.45,1.0,154.0,56.9,0.0
0.003,1.76,1.0,158.0,11.3,0.0
0.981,2.87,2.0,184.0,10.1,1.0
0.999,1.48,1.0,77.0,24.0,1.0
0.0,1.08,1.0,129.0,26.8,0.0
1.0,4.91,2.0,112.0,437.5,1.0
0.935,0.92,2.0,108.0,10.5,1.0
0.0,25.52,1.0,174.0,137.7,0.0
0.999,1.1,1.0,78.0,11.5,1.0
0.998,19.39,1.0,155.0,14.6,1.0
0.0,40.18,1.0,192.0,99.5,0.0
0.235,2.14,1.0,152.0,6.6,1.0
0.0,17.47,2.0,152.0,14.2,0.0
0.0,76.26,1.0,105.0,2158.5,0.0
0.0,81.01,1.0,155.0,85.7,0.0
0.0,86.12,1.0,181.0,6009.0,0.0
0.0,36.93,1.0,158.0,27.3,0.0
1.0,2.03,3.0,112.0,67.5,1.0
0.0,8.24,1.0,162.0,662.9,0.0
0.0,47.83,1.0,191.0,1349.8,0.0
0.0,1.84,1.0,176.0,13.1,0.0
0.0,4.83,1.0,79.0,76.4,0.0
0.995,2.64,1.0,182.0,17.6,1.0
0.986,1.5,3.0,124.0,17.0,1.0
1.0,1.58,1.0,145.0,26.5,1.0
1.0,2.44,1.0,155.0,70.8,1.0
0.0,74.25,1.0,179.0,2526.2,0.0
1.0,1.0,2.0,103.0,19.2,1.0
0.001,1.43,1.0,88.0,38.5,0.0
0.998,0.6,1.0,101.0,15.6,1.0
0.0,49.17,1.0,301.0,4419.3,0.0
0.0,68.05,1.0,74.0,7486.2,0.0
1.0,1.51,1.0,181.0,8.2,1.0
0.0,51.74,1.0,160.0,2065.8,0.0
1.0,1.36,1.0,113.0,22.0,1.0
0.999,1.94,1.0,187.0,20.9,1.0
0.999,10.6,1.0,76.0,1341.6,1.0
0.0,1.58,1.0,190.0,17.9,0.0
0.0,25.56,1.0,165.0,41.7,0.0
1.0,2.6,1.0,175.0,57.0,1.0
0.827,1.24,1.0,154.0,10.8,1.0
0.0,73.59,1.0,162.0,5758.7,0.0
0.981,0.78,3.0,102.0,11.6,1.0
1.0,2.64,2.0,74.0,37.9,1.0
1.0,9.01,1.0,185.0,343.4,1.0
0.479,4.49,2.0,87.0,14.6,1.0
0.0,0.54,1.0,113.0,17.6,0.0
1.0,2.33,1.0,152.0,70.3,1.0
0.0,0.87,1.0,164.0,12.6,0.0
1.0,0.72,2.0,73.0,32.4,1.0
1.0,2.6,1.0,163.0,49.9,1.0
0.931,0.75,1.0,138.0,15.3,1.0
0.882,1.11,2.0,84.0,9.1,1.0
1.0,2.94,1.0,104.0,166.7,1.0
0.0,1.55,1.0,142.0,66.6,0.0
1.0,13.92,1.0,49.0,41.0,1.0
0.997,1.37,1.0,130.0,22.5,1.0
0.0,3.62,1.0,141.0,13.7,0.0
0.842,0.62,1.0,78.0,10.7,1.0
0.0,29.17,1.0,154.0,531.5,0.0
1.0,0.96,1.0,157.0,2.9,1.0
0.0,7.21,1.0,132.0,152.6,0.0
0.0,83.69,1.0,160.0,742.8,0.0
0.971,1.56,1.0,166.0,13.6,1.0
0.958,1.84,1.0,167.0,13.8,1.0
0.0,63.42,2.0,192.0,236.6,0.0
0.0,66.64,2.0,171.0,2386.6,0.0
1.0,4.0,2.0,196.0,31.6,1.0
0.0,0.89,1.0,186.0,8.1,0.0
